mnt_comb,est_before,dens_before,est_after,dens_after,trans_prob,concentration
G+FF,1,H,0.1,H,0.004144574,0.004144574
G+FF,1,H,0.5,L,0.871584863,0.871584863
G+FF,1,H,0.5,H,0.046373137,0.046373137
G+FF,1,H,1,L,0,0
G+FF,1,H,1,H,0,0
G+RR,1,H,0.1,L,0,0
G+RR,1,H,0.1,H,0,0
G+RR,1,H,0.5,L,0.827561793,0.827561793
G+RR,1,H,0.5,H,0.172438207,0.172438207
G+RR,1,H,1,L,0,0
G+RR,1,H,1,H,0,0
GFF,1,H,0.1,L,6.11E-05,6.11E-05
GFF,1,H,0.1,H,6.95E-06,6.95E-06
GFF,1,H,0.5,L,0.8977425,0.8977425
GFF,1,H,0.5,H,0.1021895,0.1021895
GFF,1,H,1,L,0,0
GFF,1,H,1,H,0,0
G+LR,1,H,0.1,L,7.17E-06,7.17E-06
G+LR,1,H,0.1,H,8.28E-07,8.28E-07
G+LR,1,H,0.5,L,0.896507243,0.896507243
G+LR,1,H,0.5,H,0.103484757,0.103484757
G+LR,1,H,1,L,0,0
G+LR,1,H,1,H,0,0
GLR,1,H,0.1,L,0,0
GLR,1,H,0.1,H,0,0
GLR,1,H,0.5,L,0.818190858,0.818190858
GLR,1,H,0.5,H,0.181809142,0.181809142
GLR,1,H,1,L,0,0
GLR,1,H,1,H,0,0
G+BR,1,H,0.1,L,0,0
G+BR,1,H,0.1,H,0,0
G+BR,1,H,0.5,L,0.885683051,0.885683051
G+BR,1,H,0.5,H,0.114316949,0.114316949
G+BR,1,H,1,L,0,0
G+BR,1,H,1,H,0,0
IRR,1,H,0.1,L,0,0
IRR,1,H,0.1,H,0,0
IRR,1,H,0.5,L,0.835624603,0.835624603
IRR,1,H,0.5,H,0.164375397,0.164375397
IRR,1,H,1,L,0,0
IRR,1,H,1,H,0,0
GBR,1,H,0.1,L,0,0
GBR,1,H,0.1,H,0,0
GBR,1,H,0.5,L,0.802562596,0.802562596
GBR,1,H,0.5,H,0.197435404,0.197435404
GBR,1,H,1,L,1.61E-06,1.61E-06
GBR,1,H,1,H,3.95E-07,3.95E-07
GRR,1,H,0.1,L,0,0
GRR,1,H,0.1,H,0,0
GRR,1,H,0.5,L,0.670882939,0.670882939
GRR,1,H,0.5,H,0.258035061,0.258035061
GRR,1,H,1,L,0.051336825,0.051336825
GRR,1,H,1,H,0.019745175,0.019745175
RPF,1,H,0.1,L,0,0
RPF,1,H,0.1,H,0,0
RPF,1,H,0.5,L,0.029609655,0.029609655
RPF,1,H,0.5,H,0.120352345,0.120352345
RPF,1,H,1,L,0.167838062,0.167838062
RPF,1,H,1,H,0.682199938,0.682199938
RRR,1,H,0.1,L,0,0
RRR,1,H,0.1,H,0,0
RRR,1,H,0.5,L,0,0
RRR,1,H,0.5,H,0,0
RRR,1,H,1,L,0.033305988,0.033305988
RRR,1,H,1,H,0.966694012,0.966694012
CRC,1,H,0.1,L,0.990785516,0.990785516
CRC,1,H,0.1,H,0.004164484,0.004164484
CRC,1,H,0.5,L,0.005028863,0.005028863
CRC,1,H,0.5,H,2.11E-05,2.11E-05
CRC,1,H,1,L,0,0
CRC,1,H,1,H,0,0
SRS,1,H,0.1,L,0,0
SRS,1,H,0.1,H,0,0
SRS,1,H,0.5,L,0.789887616,0.789887616
SRS,1,H,0.5,H,0.210112384,0.210112384
SRS,1,H,1,L,0,0
SRS,1,H,1,H,0,0
GRG,1,L,0.1,L,0.118223904,0.118223904
GRG,1,L,0.1,H,0.002158096,0.002158096
GRG,1,L,0.5,L,0.863849034,0.863849034
GRG,1,L,0.5,H,0.015768966,0.015768966
GRG,1,L,1,L,0,0
GRG,1,L,1,H,0,0
G+PF,1,L,0.1,L,0.335243995,0.335243995
G+PF,1,L,0.1,H,0.002950005,0.002950005
G+PF,1,L,0.5,L,0.656033186,0.656033186
G+PF,1,L,0.5,H,0.005772814,0.005772814
G+PF,1,L,1,L,0,0
G+PF,1,L,1,H,0,0
GPF,1,L,0.1,L,0.036558671,0.036558671
GPF,1,L,0.1,H,0.000811329,0.000811329
