est_before,dens_before,treatment,est_after,pr_est_after,respondent,change_dens,,,
20,H,GRR,40,0,9,60,,,
20,H,GRR,50,0,9,60,,,
20,H,GRR,60,0,9,60,,,
20,H,GRR,70,0,9,60,,,
20,H,GRR,80,0,9,60,,,
20,H,GRR,90,0,9,60,,,
20,H,GRR,100,0,9,60,,,
80,L,GRR,10,0,1,0,,,
80,L,GRR,20,3,1,0,,,
80,L,GRR,30,7,1,0,,,
80,L,GRR,40,10,1,0,,,
80,L,GRR,50,50,1,0,,,
80,L,GRR,60,20,1,0,,,
80,L,GRR,70,10,1,0,,,
80,L,GRR,80,0,1,0,,,
80,L,GRR,90,0,1,0,,,
80,L,GRR,100,0,1,0,,,
80,L,GRR,10,70,2,0,,,
80,L,GRR,20,30,2,0,,,
80,L,GRR,30,0,2,0,,,
80,L,GRR,40,0,2,0,,,
80,L,GRR,50,0,2,0,,,
80,L,GRR,60,0,2,0,,,
80,L,GRR,70,0,2,0,,,
80,L,GRR,80,0,2,0,,,
80,L,GRR,90,0,2,0,,,
80,L,GRR,100,0,2,0,,,
80,L,GRR,10,95,3,5,,,
80,L,GRR,20,5,3,5,,,
80,L,GRR,30,0,3,5,,,
80,L,GRR,40,0,3,5,,,
80,L,GRR,50,0,3,5,,,
80,L,GRR,60,0,3,5,,,
80,L,GRR,70,0,3,5,,,
80,L,GRR,80,0,3,5,,,
80,L,GRR,90,0,3,5,,,
80,L,GRR,100,0,3,5,,,
80,L,GRR,10,70,4,5,,,
80,L,GRR,20,30,4,5,,,
80,L,GRR,30,0,4,5,,,
80,L,GRR,40,0,4,5,,,
80,L,GRR,50,0,4,5,,,
80,L,GRR,60,0,4,5,,,
80,L,GRR,70,0,4,5,,,
80,L,GRR,80,0,4,5,,,
80,L,GRR,90,0,4,5,,,
80,L,GRR,100,0,4,5,,,
80,L,GRR,10,50,5,30,,,
80,L,GRR,20,40,5,30,,,
80,L,GRR,30,10,5,30,,,
80,L,GRR,40,0,5,30,,,
80,L,GRR,50,0,5,30,,,
80,L,GRR,60,0,5,30,,,
80,L,GRR,70,0,5,30,,,
80,L,GRR,80,0,5,30,,,
80,L,GRR,90,0,5,30,,,
80,L,GRR,100,0,5,30,,,
80,L,GRR,10,90,6,0,,,
80,L,GRR,20,10,6,0,,,
80,L,GRR,30,0,6,0,,,
80,L,GRR,40,0,6,0,,,
80,L,GRR,50,0,6,0,,,
80,L,GRR,60,0,6,0,,,
80,L,GRR,70,0,6,0,,,
80,L,GRR,80,0,6,0,,,
80,L,GRR,90,0,6,0,,,
80,L,GRR,100,0,6,0,,,
80,L,GRR,10,50,7,20,,,
80,L,GRR,20,50,7,20,,,
80,L,GRR,30,0,7,20,,,
80,L,GRR,40,0,7,20,,,
80,L,GRR,50,0,7,20,,,
80,L,GRR,60,0,7,20,,,
80,L,GRR,70,0,7,20,,,
80,L,GRR,80,0,7,20,,,
80,L,GRR,90,0,7,20,,,
80,L,GRR,100,0,7,20,,,
80,L,GRR,10,30,8,20,,,
80,L,GRR,20,50,8,20,,,
80,L,GRR,30,20,8,20,,,
80,L,GRR,40,0,8,20,,,
80,L,GRR,50,0,8,20,,,
80,L,GRR,60,0,8,20,,,
80,L,GRR,70,0,8,20,,,
80,L,GRR,80,0,8,20,,,
80,L,GRR,90,0,8,20,,,
80,L,GRR,100,0,8,20,,,
80,L,GRR,10,60,9,20,,,
80,L,GRR,20,25,9,20,,,
80,L,GRR,30,15,9,20,,,
80,L,GRR,40,0,9,20,,,
80,L,GRR,50,0,9,20,,,
80,L,GRR,60,0,9,20,,,
80,L,GRR,70,0,9,20,,,
80,L,GRR,80,0,9,20,,,
80,L,GRR,90,0,9,20,,,
80,L,GRR,100,0,9,20,,,
80,H,GRR,10,0,1,95,,,
80,H,GRR,20,4,1,95,,,
80,H,GRR,30,10,1,95,,,
80,H,GRR,40,19,1,95,,,
80,H,GRR,50,50,1,95,,,
80,H,GRR,60,10,1,95,,,
